name,num_threads,status,cpu_percent,create_time,pid,memory_percent,timestamp,system_cpu,system_memory,cpu_user_time,cpu_system_time,mem_rss,mem_vms,nice,ppid,read_speed,write_speed,record_id
StartMenuExperienceHost.exe,23,running,0,1763091412.3287637,11128,1.0648273049304582,1763091978.3984332,9,52.8,1.640625,0.96875,178802688,89145344,32,1572,0,0,0_11128
Code.exe,7,running,0,1763091699.8402455,11200,0.20036404102120775,1763091978.3984332,9,52.8,0,0.03125,33644544,11026432,32,1220,0,0,0_11200
svchost.exe,9,running,0,1763091411.9740336,11660,0.15401735512635814,1763091978.3984332,9,52.8,0.109375,0.078125,25862144,3932160,32,1328,0,0,0_11660
AsusOptimizationStartupTask.exe,8,running,0,1763091408.1751292,11716,0.14130860599413886,1763091978.3984332,9,52.8,0.109375,0.1875,23728128,3977216,32,3908,0,0,0_11716
chrome.exe,31,running,0,1763091434.0462673,11772,1.7815178198128667,1763091978.3984332,9,52.8,31.6875,10.03125,299147264,261701632,64,8736,0,0,0_11772
CodeSetup-stable-ac4cbdf48759c7d8c3eb91ffe6bb04316e263c57.exe,1,running,0,1763091760.749643,11908,0.081545774,1763091978.3984332,9,52.8,0.25,0.09375,13692928,7520256,32,1220,0,0,0_11908
AsusMouseAgent.exe,3,running,0,1763091430,12068,0.11032950542231833,1763091978.3984332,9,52.8,0.015625,0.0625,18526208,4173824,32,5708,0,0,0_12068
svchost.exe,12,running,0,1763091409.954717,12212,0.2637126427416943,1763091978.3984332,9,52.8,0.34375,0.546875,44281856,11505664,32,1328,0,0,0_12212
chrome.exe,18,running,0,1763091744.9020967,12332,0.308107889,1763091978.3984332,9,52.8,0.078125,0.0625,51736576,18743296,64,8736,0,0,0_12332
msedgewebview2.exe,30,running,0,1763091413.8707986,12568,0.6006286562046748,1763091978.3984332,9,52.8,0.359375,0.265625,100855808,64352256,32,2884,0,0,0_12568
FileCoAuth.exe,12,running,0,1763091646.5778208,12596,0.2745675244381196,1763091978.3984332,9,52.8,0.109375,0.1875,46104576,14282752,32,1572,0,0,0_12596
taskhostw.exe,13,running,0,1763091410.013111,12684,0.13477128398370744,1763091978.3984332,9,52.8,0.078125,0.171875,22630400,6606848,32,2232,0,0,0_12684
chrome.exe,27,running,0,1763091741.2333486,12752,0.7105434807531971,1763091978.3984332,9,52.8,0.796875,0.484375,119312384,54657024,64,8736,0,0,0_12752
Code.exe,20,running,0,1763091699.9107409,13460,0.3075712433937678,1763091978.3984332,9,52.8,3.671875,3.0625,51646464,15536128,32,1220,0,0,0_13460
conhost.exe,2,running,0,1763091717.4493334,13856,0.042809702,1763091978.3984332,9,52.8,0,0,7188480,1212416,32,17964,0,0,0_13856
svchost.exe,5,running,0,1763091409.991007,14468,0.27420163,1763091978.3984332,9,52.8,0.359375,0.421875,46043136,10481664,32,1328,0,0,0_14468
RtkAudUService64.exe,15,running,0,1763091440.530612,15080,0.059665259841474826,1763091978.3984332,9,52.8,0.3125,0.59375,10018816,15044608,16384,2232,0,0,0_15080
